Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2091489,15-Aug-21,Illinois,Chicago,1300 block of E 75th St,0,4,N/A
2091531,14-Aug-21,Indiana,Indianapolis,Wheeler St and E 28th St,1,3,N/A
2090949,14-Aug-21,New York,Brooklyn,Lexington Ave and Marcy Ave,0,4,N/A
2090971,14-Aug-21,Ohio,Akron,271 Maiden Ln,0,5,N/A
2090777,14-Aug-21,Indiana,Indianapolis,Lafayette Rd and W 38th St,1,4,N/A
2090924,14-Aug-21,New Jersey,Trenton,875 New Willow St,0,4,N/A
2092110,14-Aug-21,Texas,Wichita Falls,2406 Sheppard Access Rd,0,4,N/A
2089972,13-Aug-21,Nevada,Las Vegas,2601 E Sunset Rd,1,6,N/A
2088659,11-Aug-21,Pennsylvania,Philadelphia,5500 Rising Sun Ave,1,4,N/A
2087433,10-Aug-21,Oregon,Portland,NE Milton St,2,4,N/A
2089557,10-Aug-21,Mississippi,Clarksdale,N/A,2,2,N/A
2086236,9-Aug-21,Michigan,Flint,3201 Hammerberg Rd,2,4,N/A
2086148,9-Aug-21,Massachusetts,Boston,27 Irma St,1,5,N/A
2085396,8-Aug-21,New York,Brooklyn,101 Wortman Ave,3,2,N/A
2085401,8-Aug-21,Illinois,Chicago,8300 block of S Halsted St,1,4,N/A
2085489,8-Aug-21,Texas,Houston,2504 FM 1960 Rd E,1,5,N/A
2085438,8-Aug-21,District of Columbia,Washington,3600 block of New York Ave NE,0,4,N/A
2085388,8-Aug-21,Illinois,Chicago,1800 block of W 87th St,1,6,N/A
2085542,8-Aug-21,Louisiana,New Orleans,700 block of Bourbon St,0,5,N/A
2085256,7-Aug-21,Alabama,Montgomery,200 block of John Morris Ave,0,4,N/A
2085071,7-Aug-21,Illinois,Chicago,211 S Maplewood Ave,0,4,N/A
2084884,7-Aug-21,Virginia,Norfolk,700 block of Granby St,0,4,N/A
2084889,6-Aug-21,Tennessee,Nashville,1000 block of 43rd Ave North,0,4,N/A
2082957,4-Aug-21,Pennsylvania,Philadelphia,3653 Germantown Ave,0,4,N/A
2081884,3-Aug-21,Illinois,Urbana,1204 W Church St,1,3,N/A
2081131,2-Aug-21,South Carolina,Greenwood,101 Heddy Rd,3,1,N/A
2080733,2-Aug-21,South Carolina,Columbia,6908 Two Notch Rd,0,9,N/A
2079920,1-Aug-21,Louisiana,New Orleans,1600 block of Iberville St,1,3,N/A
2080390,1-Aug-21,Texas,Nacogdoches,1400 block of Dolph St,1,3,N/A
2080536,1-Aug-21,Rhode Island,Providence,77 Reservoir Ave,0,5,N/A
2079913,1-Aug-21,Louisiana,New Orleans,Bourbon St and Orleans Ave,0,5,N/A
2079044,31-Jul-21,Ohio,Columbus,1662 W Mound St,1,5,N/A
2078897,31-Jul-21,Illinois,Chicago,1600 block of E Hayes Dr,1,3,N/A
2079271,31-Jul-21,Indiana,Indianapolis,1134 W 30th St,0,5,N/A
2080006,31-Jul-21,Michigan,Saginaw,2700 block of Lynnwood Ave,2,2,N/A
2079516,31-Jul-21,New York,Corona (Queens),97-07 37th Ave,0,10,N/A
2081480,31-Jul-21,Ohio,Cleveland,3100 block of W 25th St,0,5,N/A
2079533,31-Jul-21,Kentucky,Lexington,414 East 5th St,0,5,N/A
2078540,29-Jul-21,Iowa,Davenport,Pacific St and West Locust St,0,4,N/A
2077587,29-Jul-21,Pennsylvania,Pittsburgh,239 Gilkeson Rd,3,2,N/A
2077018,28-Jul-21,District of Columbia,Washington,3400 block of 22nd St SE,0,4,N/A
2077549,28-Jul-21,Alabama,Montgomery,1800 block of Rosa Parks Ave,1,3,N/A
2076889,28-Jul-21,South Carolina,Charleston,Hanover St and Johnson St,1,4,N/A
2074353,25-Jul-21,Michigan,Detroit,16342 W McNichols Rd,0,6,N/A
2074406,25-Jul-21,California,Wasco,1718 1st St,5,1,N/A
2073472,25-Jul-21,Illinois,Chicago,4800 block of W Race Ave,0,5,N/A
2073597,25-Jul-21,Washington,Seattle,100 block of Occidental Ave S,2,3,N/A
2072782,24-Jul-21,Ohio,Columbus,N High St and E 4th Ave,0,4,N/A
2072962,24-Jul-21,Texas,Amarillo,1306 NE 3rd Ave,0,6,N/A
2072761,24-Jul-21,Georgia,Macon,Cherry St and Martin Luther King Jr Blvd,2,3,N/A
2072342,23-Jul-21,South Carolina,Spartanburg,151 Palisade St,2,2,N/A
2071982,23-Jul-21,South Carolina,Darlington,505 Oleander Dr,0,4,N/A
2072896,23-Jul-21,California,San Rafael,842 4th St,2,4,N/A
2071343,22-Jul-21,Texas,Houston,9717 N Houston Rosslyn Rd,1,5,N/A
2070329,21-Jul-21,Illinois,Chicago,1400 block of S Ridgeway Ave,0,5,N/A
2070310,21-Jul-21,Illinois,Chicago,3300 block of W Douglas Blvd,2,3,N/A
2069490,21-Jul-21,Maryland,Hyattsville (Adelphi),1836 Metzerott Rd,1,4,N/A
2070645,21-Jul-21,Illinois,Chicago,1647 N La Salle Dr,0,8,N/A
2068568,20-Jul-21,Texas,Jacksonville,16241 TX-110,4,0,N/A
2067728,19-Jul-21,New Jersey,Perth Amboy,417 Fayette St,0,6,N/A
2068061,19-Jul-21,Illinois,Chicago,3308 W Flournoy St,0,4,N/A
2066335,18-Jul-21,Ohio,Toledo,5205 Telegraph Rd,1,3,N/A
2067135,18-Jul-21,Florida,Gainesville,1634 NE 8th Ave,1,4,N/A
2066680,18-Jul-21,North Carolina,Burlington,421 N Church St,0,4,N/A
2066905,18-Jul-21,Arizona,Tucson,1575 E 36th St,4,3,N/A
2067290,18-Jul-21,Texas,Houston,3421 Antoine Dr,3,2,N/A
2066812,18-Jul-21,California,Walnut Creek,SOS Dr and San Luis Rd,1,3,N/A
2065252,17-Jul-21,Oregon,Portland,300 block of SW 3rd Ave,1,6,N/A
2066189,17-Jul-21,Illinois,Chicago,5006 W Ohio St,0,6,N/A
2065009,16-Jul-21,Pennsylvania,Philadelphia,2700 block of Ruby Terr,1,4,N/A
2065634,16-Jul-21,California,Sacramento,L St and Front St,2,4,N/A
2064260,16-Jul-21,New Hampshire,Manchester,I 293 and Brown Ave,0,4,N/A
2066249,16-Jul-21,South Carolina,Greenville,840 Mauldin Rd,1,3,N/A
2064992,16-Jul-21,District of Columbia,Washington,2900 block of MLK Ave SE,1,5,N/A
2065118,16-Jul-21,Illinois,Chicago,647 N Lockwood Ave,1,4,N/A
2063495,15-Jul-21,Texas,Levelland,1105 10th St,1,5,N/A
2065533,15-Jul-21,Massachusetts,Boston,265 Centre St,0,4,N/A
2063897,15-Jul-21,Missouri,Lake Ozark,1312 Bagnell Dam Blvd,1,4,N/A
2062097,14-Jul-21,Illinois,Chicago,4600 block of W Monroe St,0,5,N/A
2062359,14-Jul-21,Illinois,Chicago,1533 W 79th St,0,5,N/A
2063394,14-Jul-21,Delaware,Claymont,50 block of Balfour Ave,2,2,N/A
2060865,13-Jul-21,Indiana,Indianapolis,4200 block of Arborcrest Dr,0,4,N/A
2060949,13-Jul-21,Michigan,Detroit,9855 Chalmers St,1,6,N/A
2060293,12-Jul-21,New Jersey,Iselin,515 US-1,0,4,N/A
2060706,12-Jul-21,Pennsylvania,Beaver Falls,900 9th St,2,3,N/A
2060605,12-Jul-21,New York,Corona (Queens),180th St and 145th Dr,0,4,N/A
2059440,11-Jul-21,Texas,El Paso (Socorro),1300 Joe Battle Blvd,1,5,N/A
2059404,10-Jul-21,Pennsylvania,Philadelphia,W Butler St and N 9th St,0,6,N/A
2058950,10-Jul-21,Massachusetts,Boston,34 Cameron St,0,4,N/A
2058837,10-Jul-21,Ohio,Springfield,405 S Burnett Rd,1,3,N/A
2058421,9-Jul-21,California,Los Angeles,7114 W Manchester Ave,0,4,N/A
2057427,8-Jul-21,Connecticut,Hartford,Nelson St and Garden St,0,4,N/A
2053262,5-Jul-21,Ohio,Toledo,Lawrence Ave and Wall St,1,11,N/A
2053500,5-Jul-21,California,Santa Rosa,1500 block of Beachwood Dr,1,3,N/A
2055252,5-Jul-21,New York,Buffalo,50 block of Donovan Dr,1,3,N/A
2053048,5-Jul-21,Illinois,Chicago,6108 S Wabash Ave,2,4,N/A
2052524,4-Jul-21,California,Thermal,Jackson St and Airport Blvd,0,4,N/A
2054233,4-Jul-21,Ohio,Cleveland,Kinsman Rd and E 139th St,0,4,N/A
2054132,4-Jul-21,Illinois,Peoria,600 block of Haungs Ave,1,3,N/A
